DATE : 2025-01-01
departement,tarif1,tarif2,tarif3,tarif4,tarif5
64	PYRENEES-ATLANTIQUE	,172.37	,253.73	,322.67	,395.77	,480.57
64	Localités d'altitude - ST	,321.52	,473.28	,601.89	,738.21	,896.41
65	HAUTES-PYRENEES	,186.07	,273.89	,348.31	,427.21	,518.75
65	Localités d'altitude - ST	,344.35	,506.89	,644.62	,790.63	,960.05
66	PYRENEES-ORIENTALES	,144.98	,213.41	,271.40	,332.87	,404.20
66	Localités d'altitude - ST	,275.87	,406.08	,516.43	,633.40	,769.13
67	BAS-RHIN	,151.82	,223.49	,284.22	,348.59	,423.29
68	HAUT-RHIN	,141.55	,208.37	,264.99	,325.01	,394.65
69	RHONE	,86.77	,127.72	,162.43	,199.22	,241.91
70	HAUTE-SAONE	,138.13	,203.32	,258.58	,317.15	,385.10
71	SAONE-ET-LOIRE	,114.16	,168.05	,213.71	,262.12	,318.28
72	SARTHE	,151.82	,223.49	,284.22	,348.59	,423.29
73	SAVOIE	,76.49	,112.60	,143.20	,175.63	,213.27
73	Localités d'altitude - ST	,161.73	,238.07	,302.76	,371.34	,450.92
74	HAUTE-SAVOIE	,86.77	,127.72	,162.43	,199.22	,241.91
74	Localités d'altitude - ST	,173.15	,254.88	,324.13	,397.55	,482.73
75	PARIS	,148.40	,218.44	,277.81	,340.73	,413.74
76	SEINE-MARITIME	,165.52	,243.65	,309.86	,380.04	,461.48
77	SEINE-ET-MARNE	,148.40	,218.44	,277.81	,340.73	,413.74
78	YVELINES	,148.40	,218.44	,277.81	,340.73	,413.74
79	DEUX-SEVRES	,151.82	,223.49	,284.22	,348.59	,423.29
80	SOMME	,162.10	,238.61	,303.45	,372.18	,451.93
81	TARN	,162.10	,238.61	,303.45	,372.18	,451.93
82	TARN-ET-GARONNE	,155.25	,228.53	,290.63	,356.45	,432.83
83	VAR	,127.85	,188.20	,239.35	,293.56	,356.47
84	VAUCLUSE	,107.32	,157.96	,200.89	,246.39	,299.18
85	VENDEE	,165.52	,243.65	,309.86	,380.04	,461.48
85	Iles - IL	,310.11	,456.49	,580.52	,712.01	,864.58
86	VIENNE	,148.40	,218.44	,277.81	,340.73	,413.74
87	HAUTE-VIENNE	,151.82	,223.49	,284.22	,348.59	,423.29
88	VOSGES	,134.71	,198.29	,252.17	,309.28	,375.56
88	Localités d'altitude - ST	,247.33	,364.07	,463.01	,567.89	,689.57
89	YONNE	,138.13	,203.32	,258.58	,317.15	,385.10
90	TERR. DE BELFORT	,134.71	,198.29	,252.17	,309.28	,375.56
91	ESSONNE	,148.40	,218.44	,277.81	,340.73	,413.74
92	HAUTS-DE-SEINE	,148.40	,218.44	,277.81	,340.73	,413.74
93	SEINE-ST-DENIS	,148.40	,218.44	,277.81	,340.73	,413.74
94	VAL-DE-MARNE	,148.40	,218.44	,277.81	,340.73	,413.74
95	VAL-D OISE	,148.40	,218.44	,277.81	,340.73	,413.74
98	98 MONACO	,258.75	,380.88	,484.38	,594.09	,721.39
